,CAS_Number,Chemical_Name,Species_Scientific_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Mean_Op,Exposure_Type,Media_Type,Test_Location,Number_of_Doses,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,ld50_variance,ld50_se,ld50_se_+/-CI,ld50_sd,ld50_sd_+/-CI,Pval,DF,Chisq,HarzardRatio,notes_ld50,sample_size,paper code,notes,corresponding_author_email,Effect,Endpoint,Response_Site,aq_ter,,Title,Publication_Year,Observed_Duration_Days,Observed_Duration_Units_Days,Chemical_short,family,genus,Observed_Response_Units_std,Observed_Response_Mean_std,Observed_Response_Min_std,Observed_Response_Max_std
33,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,"Diet, unspecified",No substrate,Lab,6,30.6,26.7,36.3,ng/org,,,,,,,,,,,180,20,SI not provided,Minh-Ha` Pham-Dele`gue,Mortality,LD50,Not reported,Terrestrial,,Learning Performances of Honeybees (Apis mellifera L.) are Differentially Affected by Imidacloprid According to the Season,2003,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,30.6,26.7,36.3
34,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Adult,NR,,Food,No substrate,Lab,11,0.49,0.33,0.67,AI ug/org,,,,,,,,,,,,21,Cannot find,,Mortality,LD50,Not reported,Terrestrial,,Assessment of the Risk Posed to Honeybees by Systemic Pesticides,2007,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,490,330,670
,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,183.780,NA,NA,AI ng/org,,,,,9.456,,,,,Rene & Melissa took the mean and sd of three beehives  reported in Table 1 of this paper,90,22,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,,NA,NA
,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,104.116,NA,NA,AI ng/org,,,,,5.270,,,,,Rene & Melissa took the mean and sd of three beehives  reported in Table 1 of this paper,90,22,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,,NA,NA
,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,72.940,NA,NA,AI ng/org,,,,,25.373,,,,,Rene & Melissa took the mean and sd of three beehives  reported in Table 1 of this paper,90,22,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,,NA,NA
,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,3.548,NA,NA,AI ng/org,,,,,0.911,,,,,Rene & Melissa took the mean and sd of three beehives  reported in Table 1 of this paper,90,22,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,,NA,NA
,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,3.348,NA,NA,AI ng/org,,,,,0.915,,,,,Rene & Melissa took the mean and sd of three beehives  reported in Table 1 of this paper,90,22,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,,NA,NA
,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,2.881,NA,NA,AI ng/org,,,,,0.301,,,,,Rene & Melissa took the mean and sd of three beehives  reported in Table 1 of this paper,90,22,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,,NA,NA
,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.481,NA,NA,AI ng/org,,,,,0.538,,,,,Rene & Melissa took the mean and sd of three beehives  reported in Table 1 of this paper,90,22,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,,NA,NA
,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.322,NA,NA,AI ng/org,,,,,0.469,,,,,Rene & Melissa took the mean and sd of three beehives  reported in Table 1 of this paper,90,22,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,,NA,NA
,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,9,4.210,NA,NA,AI ng/org,,,,,0.407,,,,,Rene & Melissa took the mean and sd of three beehives  reported in Table 1 of this paper,90,22,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Acute Oral Toxicity of Neonicotinoids on Different Honey Bee Strains,2010,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,,NA,NA
37,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,34.37,5,120,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,34.37,NA,NA
39,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,83.97,50,173,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",240,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,83.97,NA,NA
40,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,24.96,15,50,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,24.96,NA,NA
41,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,28.81,5,90,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,28.81,NA,NA
46,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,65.14,40,110,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,65.14,NA,NA
47,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,170.52,110,340,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,170.52,NA,NA
48,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,85.47,40,210,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,85.47,NA,NA
52,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,59.36,40,120,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,59.36,NA,NA
53,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,34.96,24,50,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,34.96,NA,NA
54,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,120.65,70,200,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,120.65,NA,NA
55,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,29.79,1,100,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,29.79,NA,NA
56,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,99.82,65,175,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Imidacloprid,Apidae,Apis,AI ng/org,99.82,NA,NA
115,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,3.68,2.5,5.5,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,3.68,NA,NA
116,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,3.9,0.2,8.5,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,3.9,NA,NA
117,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.15,1.5,3,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.15,NA,NA
118,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,4.13,2.9,5.3,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.13,NA,NA
119,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.26,1.2,3.25,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.26,NA,NA
120,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,3.59,1,6.75,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,3.59,NA,NA
121,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.31,1.3,3.2,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.31,NA,NA
122,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,4.27,3.55,5.5,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.27,NA,NA
123,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,4.32,0.25,10,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.32,NA,NA
124,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,5.01,4.2,5.8,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,5.01,NA,NA
125,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,5.08,4.5,6,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,5.08,NA,NA
126,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,4.52,3.5,6.6,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.52,NA,NA
127,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.48,2.2,2.7,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.48,NA,NA
128,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.44,2.3,2.6,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.44,NA,NA
129,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.44,2.2,2.6,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.44,NA,NA
130,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.65,1.1,2.8,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,1.65,NA,NA
131,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.99,1.4,3,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,1.99,NA,NA
133,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.64,1.4,2.2,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,1.64,NA,NA
170,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,5.37,4.2,7,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,5.37,NA,NA
171,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,4.83,3.3,6.2,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,4.83,NA,NA
172,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,5.07,4.5,5.75,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,5.07,NA,NA
173,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.16,1.75,2.6,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.16,NA,NA
174,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.19,1.9,2.7,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.19,NA,NA
175,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.2,1.7,2.6,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.2,NA,NA
176,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.79,1.2,5,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.79,NA,NA
178,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.75,1.3,4.8,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.75,NA,NA
